Name,Content
Наказателно право,"Български гражданин, който във време на обявена или започната война, постъпи доброволно в редовете на неприятелска войска или въоръжена група или участвува във враждебно действие против Републиката, или под каквато и да е форма премине на страната на неприятеля, се наказва с лишаване от свобода от десет до двадесет години, с доживотен затвор или с доживотен затвор без замяна."
Наказателно право,"Който с цел да намали отбранителната способност на републиката предизвика бунт или неподчинение в българската войска или бягство от нея, или със същата цел разстрои подготовката или снабдяването и, се наказва с лишаване от свобода от пет до петнадесет години."
Наказателно право,"Който образува или ръководи организация или група, която си поставя за цел да извършва престъпления"
Наказателно право,"Който умишлено умъртви другиго, се наказва за убийство с лишаване от свобода от десет до двадесет години."
Наказателно право,"Приготовление за убийство се наказва с лишаване от свобода от една до шест години."
Наказателно право,"подбужда другиго към убийство"
Наказателно право,"За убийство, извършено в състояние на силно раздразнение, което е предизвикано от пострадалия с насилие, с тежка обида или клевета или с друго противозаконно действие, от което са настъпили или е било възможно да настъпят тежки последици за виновния или негови ближни"
Наказателно право,"За убийство, извършено при превишаване пределите на неизбежната отбрана, наказанието е лишаване от свобода до пет години."
Наказателно право,"За убийство, извършено от майка върху рожба във време на раждане или веднага след него, наказанието е лишаване от свобода до три години."
Наказателно право,"За убийство на току-що родена рожба с чудовищен вид виновният родител се наказва с лишаване от свобода до една година или с пробация."
Наказателно право,"Който причини другиму смърт по непредпазливост, се наказва с лишаване от свобода до пет години."
Наказателно право,"Ако смъртта е причинена с огнестрелно оръжие или със силно действуващо отровно вещество или ако е причинена смърт на две или повече лица, наказанието е лишаване от свобода от една до шест години."
Наказателно право,"причини другиму смърт поради незнание или немарливо изпълнение на занятие или на друга правно регламентирана дейност, представляващи източник на повишена опасност, се наказва с лишаване от свобода от една до шест години."
Наказателно право,"по непредпазливост причини другиму смърт чрез действия, които спадат към занятие или дейност по предходната алинея, които той няма право да упражнява, се наказва с лишаване от свобода от две до осем години."
Наказателно право,"причинена смърт на повече от едно лице, наказанието е лишаване от свобода от три до десет години, а в особено тежки случаи - лишаване от свобода от пет до петнадесет години."
Наказателно право,"смърт по непредпазливост вследствие на умишлено нанесена телесна повреда, се наказва с лишаване от свобода от три до дванадесет години при тежка телесна повреда, от две до осем години при средна телесна повреда и до пет години при лека телесна повреда."
Наказателно право,"извършено в състояние на силно раздразнение, което е предизвикано от пострадалия с насилие, с тежка обида или клевета или с друго противозаконно действие, от което са настъпили или е било възможно да настъпят тежки последици за виновния или негови ближни, наказанието е: при тежка телесна повреда - лишаване от свобода до пет години; при средна телесна повреда - лишаване от свобода до три години; при лека телесна повреда - лишаване от свобода до две години."
Наказателно право," при превишаване пределите на неизбежната отбрана, наказанието е: при тежка телесна повреда - лишаване от свобода до пет години, при средна телесна повреда - лишаване от свобода до четири години, а при лека телесна повреда - лишаване от свобода до две години."
Наказателно право,"тежка телесна повреда се наказва с лишаване от свобода от три до десет години."
Наказателно право,"За лека телесна повреда, изразяваща се в причиняване на болка или страдание без разстройство на здравето, наказанието е лишаване от свобода до шест месеца или пробация, или глоба от сто до триста лева."
Наказателно право,"телесна повреда на длъжностно лице, на представител на обществеността, както и на военно лице, включително и от съюзна или приятелска държава или войска при или по повод изпълнение на службата или функцията му; или на лице, ползуващо се с международна защита;"
Наказателно право,"причини другиму по непредпазливост тежка или средна телесна повреда, се наказва с лишаване от свобода до една година или с пробация."
Наказателно право,"причини другиму тежка или средна телесна повреда поради незнание или поради немарливо изпълнение на занятие или на друга правно регламентирана дейност, представляващи източник на повишена опасност"
Наказателно право,"Който, като знае, че страда от венерическа болест, зарази другиго със същата болест, се наказва с лишаване от свобода"
Наказателно право,"Който наруши правила, установени за охрана на безопасността на труда, и с това изложи на опасност живота или здравето на трудещите се, се наказва с лишаване от свобода до три години или с пробация, както и с обществено порицание."
Наказателно право,"Който изложи лице, лишено от възможността да се самозапазва поради малолетство, престарялост, болест или изобщо поради своята безпомощност, по такъв начин, че животът му може да бъде в опасност, и като съзнава това, не му се притече на помощ, се наказва с лишаване от свобода до три години."
Наказателно право,"Който съзнателно не окаже помощ на лице, за което е длъжен да се грижи и което се намира в опасност за живота си и няма възможност да се самозапази поради малолетство, престарялост, болест или изобщо поради своята безпомощност, в случаите, когато е могъл да окаже помощ, се наказва с лишаване от свобода до една година или с пробация."
Наказателно право,"Който при непосредствена опасност за живота на другиго не се притече на помощ, която е могъл да му даде без опасност за себе си или за другиго, се наказва с пробация до шест месеца или с глоба от сто до триста лева."
Наказателно право,"Водач на превозно средство, който след превозна злополука, в която има участие, не окаже необходимата помощ на пострадалото лице, която е могъл да му даде без опасност за себе си или за другиго, се наказва с лишаване от свобода до една година или с пробация."
Наказателно право,"Лице, което упражнява медицинско занятие, ако след като бъде поканено, не се притече на помощ на болен или на родилка без уважителна причина, се наказва с пробация или с глоба от сто до триста лева."
Наказателно право,"Който отвлече другиго, се наказва с лишаване от свобода от три до десет години."
Наказателно право,"Който противозаконно лиши някого от свобода, се наказва с лишаване от свобода до шест години."
Наказателно право,"Който принуди другиго да извърши, да пропусне или да претърпи нещо, противно на волята му, като употреби за това сила, заплашване или злоупотреби с властта си, се наказва с лишаване от свобода до шест години."
Наказателно право,"Който задържи някого като заложник, чието освобождаване поставя в зависимост от изпълнението на определено условие от страна на държавата, на държавна или обществена организация или на трето лице, се наказва с лишаване от свобода от една до осем години."
Наказателно право,"поставеното от него условие не бъде изпълнено, ще причини смърт или тежка или средна телесна повреда на задържания, наказанието е лишаване от свобода от две до десет години."
Наказателно право,"Който се закани на другиго с престъпление против неговата личност или имот или против личността или имота на неговите ближни и това заканване би могло да възбуди основателен страх за осъществяването му, се наказва с лишаване от свобода до три години."
Наказателно право,"Който извърши действие с цел да възбуди или удовлетвори полово желание без съвкупление по отношение на лице, ненавършило 14-годишна възраст, се наказва за блудство с лишаване от свобода от една до шест години."
Наказателно право,"Който извърши действие с цел да възбуди или удовлетвори полово желание без съвкупление по отношение на лице, навършило 14-годишна възраст, чрез употреба на сила или заплашване, чрез използуване на безпомощното му състояние или чрез привеждането му в такова състояние или чрез използване на положение на зависимост или надзор, се наказва с лишаване от свобода от две до осем години."
Наказателно право,"Който се съвъкупи с лице, ненавършило 14-годишна възраст, доколкото извършеното не съставлява престъпление по чл. 152, се наказва с лишаване от свобода от две до шест години."
Наказателно право,"безпомощно състояние, се наказва за изнасилване с лишаване от свобода от две до осем години."
Наказателно право,"съвъкупи с лице от женски пол лишено от възможност за самоотбрана, и то без негово съгласие като го принуди към това със сила или заплашване"
Наказателно право,"Който се съвкупи с друго лице, като го принуди към това чрез използване на служебната му или материална зависимост от него, се наказва с лишаване от свобода до три години."
Наказателно право,"Съвъкупление между възходящи и низходящи, между братя и сестри и между осиновители и осиновени се наказва с лишаване от свобода до три години."
Наказателно право,"Който извърши блудствени действия или съвкупление с непълнолетно лице, което се занимава с проституция, се наказва с лишаване от свобода до три години."
Наказателно право,"Който склонява друго лице към проституция или свожда към блудствени действия или съвкупление, се наказва с лишаване от свобода."
Наказателно право,"Който предоставя систематически помещение на различни лица за полови сношения или за блудствени действия се наказва с лишаване от свобода"
Наказателно право,"Който склони или принуди друго лице към употреба на наркотични вещества или техни аналози с цел проституиране, съвкупление, блудствени действия или извършване на полово сношение или действия на полово удовлетворение с лице от същия пол, се наказва с лишаване от свобода "
Наказателно право,"Който чрез информационна или съобщителна технология или по друг начин предоставя или събира информация за лице, ненавършило 18-годишна възраст, за да се установи контакт с него за извършване на блудствено действие, съвкупление, полово сношение, проституция, за създаване на порнографски материал или за участие в порнографско представление, се наказва с лишаване от свобода"
Наказателно право,"Който склонява лице, ненавършило 14-годишна възраст, да наблюдава действителни, виртуални или симулирани полови сношения между лица от еднакъв или различен пол или похотливо показване на човешки полови органи, содомия, мастурбация, сексуален садизъм или мазохизъм, се наказва с лишаване от свобода"
Наказателно право,"Който чрез употреба на сила или заплашване, или чрез използване на положение на зависимост или надзор склонява непълнолетно лице да наблюдава действително, виртуално или симулирано блудствено действие, съвкупление, полово сношение, включително содомия, мастурбация, сексуален садизъм или мазохизъм, както и похотливо показване на човешки полови органи, се наказва с лишаване от свобода"
Наказателно право,"Който извърши полово сношение или действия на полово удовлетворение с лице от същия пол, като употреби за това сила или заплашване или използва положение на зависимост или надзор, както и с лице, лишено от възможност за самоотбрана, се наказва с лишаване от свобода"
Наказателно право,"Който по какъвто и да е начин набира, подпомага или използва лице, ненавършило 18-годишна възраст, или група от такива лица да участва в порнографско представление, се наказва с лишаване от свобода"
Наказателно право,"Който принуждава лице, ненавършило 18-годишна възраст, или група от такива лица да участва в порнографско представление, се наказва с лишаване от свобода"
Наказателно право,"Който създава, излага, представя, излъчва, предлага, продава, дава под наем или по друг начин разпространява порнографски материал, се наказва с лишаване от свобода"
Наказателно право,"Който разпространява чрез информационна или съобщителна технология или по друг подобен начин порнографски материал, се наказва с лишаване от свобода"
Наказателно право,"Който излага, представя, предлага, продава, дава под наем или по друг начин разпространява порнографски материал на лице, ненавършило 16 години, се наказва с лишаване от свобода"
Наказателно право,"Който набира, транспортира, укрива или приема отделни лица или групи от хора с цел да бъдат използвани за развратни действия, за принудителен труд или за просия, за отнемане на телесен орган, тъкан, клетка или телесна течност или за да бъдат държани в принудително подчинение независимо от съгласието им, се наказва с лишаване от свобода"
Наказателно право,"Който набира, транспортира, укрива или приема отделни лица или групи от хора и ги преведе през границата на страната се наказва с лишаване от свобода"
Наказателно право,"Който използва лице, пострадало от трафик на хора, за развратни действия, за принудителен труд или за просия, за отнемане на телесен орган, тъкан, клетка или телесна течност или за да бъде държано в принудително подчинение независимо от съгласието му, се наказва с лишаване от свобода"
Наказателно право,"Който чрез слово, печат или други средства за масова информация, чрез електронни информационни системи или по друг начин проповядва или подбужда към дискриминация, насилие или омраза, основани на раса, народност или етническа принадлежност, се наказва с лишаване от свобода"
Наказателно право,"Който употреби насилие срещу другиго или повреди имота му поради неговата раса, народност, етническа принадлежност, религия или политически убеждения, се наказва с лишаване от свобода"
Наказателно право,"Лицата, които участвуват в тълпа, събрана за нападение на групи от населението, отделни граждани или техни имоти във връзка с националната, етническата или расовата им принадлежност се наказват подбудителите и предводителите - с лишаване от свобода"
